example	label	target	dataset
<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔	hate	{'Asian'}	twitter
and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew	hate	{'African'}	gab
guilty until proven innocent unless you are a jew a nigger or a lover of both	hate	{'None', 'Jewish', 'African'}	gab
<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret	hate	{'None', 'Islam'}	gab
lol what a stupid kike	hate	{'Other', 'Jewish'}	gab
why does anyone care what the albino nigger has to say	hate	{'Caucasian', 'African'}	gab
this sounds like a kike national socialist	hate	{'Other', 'Jewish'}	gab
a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her	hate	{'African', 'Islam'}	gab
you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>	hate	{'Homosexual', 'Men'}	twitter
the flag of the maga fags in all it glory it comes with nigger red shoes too	hate	{'Homosexual', 'African'}	gab
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life	hate	{'Refugee', 'Hispanic', 'Arab', 'Homosexual', 'Women', 'Jewish', 'Islam', 'African', 'Asian'}	gab
just another dumb nigger	hate	{'African'}	gab
have you proven your gender yet nice profile pic by the way oh im a nigger too	hate	{'African'}	gab
<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike	hate	{'Disability', 'Homosexual', 'Jewish', 'African', 'Women'}	gab
ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol	hate	{'African', 'Women'}	gab
<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler	hate	{'Arab', 'African', 'Islam'}	gab
<user> you first kike	hate	{'Jewish'}	gab
jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation	hate	{'Jewish', 'African'}	gab
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight	hate	{'African'}	gab
yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it	hate	{'African', 'Islam', 'Arab'}	gab
yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you	hate	{'Homosexual', 'Women'}	gab
lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum	hate	{'Jewish', 'African', 'Islam'}	gab
reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families	hate	{'Jewish'}	gab
damn dat wetback needs to strap in those moobs	hate	{'Hispanic'}	gab
i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉	hate	{'Jewish'}	gab
you niggers need to sack up and tweet nigger	hate	{'None', 'African'}	twitter
that is the muzrat strategy in every country they infest	hate	{'Islam'}	gab
sorry about the nigger comment but even blacks do not like niggers	hate	{'African'}	gab
nd only <percent> nigger but jewish culture should be taken into account here thanks jews	hate	{'Jewish', 'African'}	gab
this nigger calling me juicy lips over the phone wtf	hate	{'African'}	twitter
i hate fucking niggers	hate	{'African'}	twitter
you all niggers are cancers	hate	{'African'}	twitter
man i hate niggers	hate	{'Minority', 'African', 'Nonreligious'}	twitter
hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage	hate	{'Refugee', 'Asian', 'Minority', 'Nonreligious'}	gab
this nigger just saved the uk	hate	{'African'}	twitter
microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day 😎	hate	{'African'}	gab
god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga	hate	{'African'}	gab
fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick	hate	{'Homosexual', 'African'}	twitter
god made the niggers he made them in the night he made them in a hurry and forgot to paint them white	hate	{'None', 'African'}	twitter
you are next kike	hate	{'Jewish'}	gab
the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status	hate	{'African', 'Other', 'Islam'}	gab
i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power	hate	{'African', 'Islam', 'Arab'}	gab
it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal	hate	{'None', 'Islam', 'Arab'}	gab
that his sister sheboon friend melissa is apparently dating some blonde dude	hate	{'African', 'Women'}	gab
lol get a load of this kike	hate	{'Jewish'}	gab
pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances	hate	{'African'}	gab
<user> bernardo is just a white honky	hate	{'None', 'Caucasian'}	twitter
the chink salivates as the salamander cries out in extinction	hate	{'None', 'Asian'}	gab
<user> you need potassium eat a banana you fucking nigger	hate	{'African'}	twitter
honestly man most of you guys are nigger faggots	hate	{'Homosexual', 'African'}	twitter
ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything	hate	{'African', 'Women'}	gab
